年,総数,中国,香港,台湾,韓国,フィリピン,タイ,シンガポール,マレーシア,インドネシア,インド,ベトナム,英国,ドイツ,フランス,ロシア,イタリア,米国,カナダ,豪州
2003年,5211725,448782,260214,785379,1459333,137584,80022,76896,65369,64637,47520,17094,200543,93571,85179,44512,35826,655821,126065,172134
2004年,6137905,616009,300246,1080590,1588472,154588,104864,90001,72445,55259,53000,19056,215704,106297,95894,56554,38923,759753,142091,194276
2005年,6727926,652820,298810,1274612,1747171,139572,120238,94161,78173,58974,58572,22138,221535,118429,110822,63609,44691,822033,150012,206179
2006年,7334077,811675,352265,1309121,2117325,95530,125704,115870,85627,59911,62505,25637,216476,115337,117785,60654,46407,816727,157438,195094
2007年,8346969,942439,432042,1385255,2600694,89532,167481,151860,100890,64178,67583,31909,221945,125193,137787,64244,54022,815882,165993,222518
2008年,8350835,1000416,550190,1390228,2382397,82177,191881,167894,105663,66593,67323,34794,206564,126207,147580,66270,56243,768345,168307,242031
2009年,6789658,1006085,449568,1024292,1586772,71485,177541,145224,89509,63617,58918,34221,181460,110692,141251,46952,59607,699919,152756,211659
2010年,8611175,1412875,508691,1268278,2439816,77377,214881,180960,114519,80632,66819,41862,184045,124360,151011,51457,62394,727234,153303,225751
2011年,6218752,1043246,364865,993974,1658073,63099,144969,111354,81516,61911,59354,41048,140099,80772,95438,33793,34035,565887,101299,162578
2012年,8358105,1425100,481665,1465753,2042775,85037,260640,142201,130183,101460,68914,55156,173994,108898,130412,50176,51801,716709,135355,206404
2013年,10363904,1314437,745881,2210821,2456165,108351,453642,189280,176521,136797,75095,84469,191798,121776,154892,60502,67228,799280,152766,244569
2014年,13413467,2409158,925975,2829821,2755313,184204,657570,227962,249521,158739,87967,124266,220060,140254,178570,64077,80531,891668,182865,302656
2015年,19737409,4993689,1524292,3677075,4002095,268361,796731,308783,305447,205083,103084,185395,258488,162580,214228,54365,103198,1033258,231390,376075
2016年,24039700,6373564,1839193,4167512,5090302,347861,901525,361807,394268,271014,122939,233763,292458,183288,253449,54839,119251,1242719,273213,445332
2017年,28691073,7355818,2231568,4564053,7140438,424121,987211,404132,439548,352330,134371,308898,310499,195606,268605,77251,125864,1374964,305591,495054
2018年,31191856,8380034,2207804,4757258,7538952,503976,1132160,437280,468360,396852,154029,389005,333979,215336,304896,94810,150060,1526407,330600,552440
